id,name
P14410,SI
P14415,ATP1B2
P14416,DRD2
P14555,PLA2G2A
P14616,INSRR
P14672,SLC2A4
P14679,TYR
P14770,GP9
P14778,IL1R1
P14784,IL2RB
P14923,JUP
P15144,ANPEP
P15151,PVR
P15260,IFNGR1
P15291,B4GALT1
P15309,ACPP
P15311,EZR
P15313,ATP6V1B1
P15328,FOLR1
P15382,KCNE1
P15391,CD19
P15421,GYPE
P15509,CSF2RA
P15529,CD46
P15812,CD1E
P15813,CD1D
P15907,ST6GAL1
P15941,MUC1
P16066,NPR1
P16070,CD44
P16109,SELP
P16144,ITGB4
P16150,SPN
P16234,PDGFRA
P16410,CTLA4
P16422,EPCAM
P16444,DPEP1
P16452,EPB42
P16471,PRLR
P16473,TSHR
P16499,PDE6A
P16581,SELE
P16591,FER
P16671,CD36
P16871,IL7R
P17152,TMEM11
P17181,IFNAR1
P17252,PRKCA
P17301,ITGA2
P17302,GJA1
P17342,NPR3
P17540,CKMT2
P17658,KCNA6
P17677,GAP43
P17787,CHRNB2
P17813,ENG
P17948,FLT1
P18031,PTPN1
P18084,ITGB5
P18206,VCL
P18405,SRD5A1
P18433,PTPRA
P18505,GABRB1
P18564,ITGB6
P18577,RHCE
P18627,LAG3
P18825,ADRA2C
P18827,SDC1
P18850,ATF6
P19021,PAM
P19022,CDH2
P19075,TSPAN8
P19235,EPOR
P19256,CD58
P19320,VCAM1
P19397,CD53
P19438,TNFRSF1A
P19440,GGT1
P19526,FUT1
P19634,SLC9A1
P20020,ATP2B1
P20023,CR2
P20036,HLA-DPA1
P20138,CD33
P20273,CD22
P20292,ALOX5AP
P20309,CHRM3
P20333,TNFRSF1B
P20591,MX1
P20594,NPR2
P20645,M6PR
P20648,ATP4A
P20700,LMNB1
P20701,ITGAL
P20702,ITGAX
P20813,CYP2B6
P20827,EFNA1
P20963,CD247
P21145,MAL
P21439,ABCB4
P21452,TACR2
P21453,S1PR1
P21462,FPR1
P21554,CNR1
P21583,KITLG
P21589,NT5E
P21709,EPHA1
P21730,C5AR1
P21731,TBXA2R
P21754,ZP3
P21757,MSR1
P21817,RYR1
P21854,CD72
P21860,ERBB3
P21912,SDHB
P21917,DRD4
P21918,DRD5
P21926,CD9
P21964,COMT
P22001,KCNA3
P22059,OSBP
P22083,FUT4
P22223,CDH3
P22303,ACHE
P22455,FGFR4
P22459,KCNA4
P22460,KCNA5
P22607,FGFR3
P22680,CYP7A1
P22695,UQCRC2
P22732,SLC2A5
P22735,TGM1
P22748,CA4
P22760,AADAC
P22794,EVI2A
P22830,FECH
P22888,LHCGR
P22897,MRC1
P23219,PTGS1
P23276,KEL
P23415,GLRA1
P23458,JAK1
P23468,PTPRD
P23469,PTPRE
P23471,PTPRZ1
P23510,TNFSF4
P23515,OMG
P23528,CFL1
P23786,CPT2
P23942,PRPH2
P23945,FSHR
P23975,SLC6A2
P24046,GABRR1
P24071,FCAR
P24394,IL4R
P24530,EDNRB
P24557,TBXAS1
P24588,AKAP5
P24903,CYP2F1
P25021,HRH2
P25025,CXCR2
P25089,FPR3
P25092,GUCY2C
P25100,ADRA1D
P25101,EDNRA
P25103,TACR1
P25105,PTAFR
P25116,F2R
P25189,MPZ
P25445,FAS
P25874,UCP1
P25929,NPY1R
P25942,CD40
P26006,ITGA3
P26010,ITGB7
P26012,ITGB8
P26045,PTPN3
P26232,CTNNA2
P26572,MGAT1
P26715,KLRC1
P26718,KLRK1
P26842,CD27
P26951,IL3RA
P26992,CNTFR
P27037,ACVR2A
P27105,STOM
P27448,MARK3
P27449,ATP6V0C
P27487,DPP4
P27701,CD82
P27815,PDE4A
P27824,CANX
P27930,IL1R2
P28067,HLA-DMA
P28068,HLA-DMB
P28221,HTR1D
P28222,HTR1B
P28288,ABCD3
P28328,PEX2
P28335,HTR2C
P28336,NMBR
P28476,GABRR2
P28566,HTR1E
P28676,GCA
P28827,PTPRM
P28845,HSD11B1
P28906,CD34
P28907,CD38
P28908,TNFRSF8
P29016,CD1B
P29017,CD1C
P29074,PTPN4
P29274,ADORA2A
P29275,ADORA2B
P29317,EPHA2
P29320,EPHA3
P29323,EPHB2
P29371,TACR3
P29376,LTK
P29475,NOS1
P29590,PML
P29965,CD40LG
P29972,AQP1
P29973,CNGA1
P30203,CD6
P30273,FCER1G
P30408,TM4SF1
P30411,BDKRB2
P30414,NKTR
P30518,AVPR2
P30530,AXL
P30531,SLC6A1
P30532,CHRNA5
P30536,TSPO
P30542,ADORA1
P30550,GRPR
P30556,AGTR1
P30559,OXTR
P30622,CLIP1
P30626,SRI
P30825,SLC7A1
P30872,SSTR1
P30874,SSTR2
P30926,CHRNB4
P30939,HTR1F
P30968,GNRHR
P30989,NTSR1
P31040,SDHA
P31358,CD52
P31391,SSTR4
P31431,SDC4
P31639,SLC5A2
P31644,GABRA5
P31645,SLC6A4
P31751,AKT2
P31994,FCGR2B
P32004,L1CAM
P32019,INPP5B
P32189,GK
P32238,CCKAR
P32239,CCKBR
P32241,VIPR1
P32245,MC4R
P32246,CCR1
P32247,BRS3
P32248,CCR7
P32249,GPR183
P32297,CHRNA3
P32302,CXCR5
P32418,SLC8A1
P32455,GBP1
P32927,CSF2RB
P32942,ICAM3
P32970,CD70
P32971,TNFSF8
P33032,MC5R
P33241,LSP1
P33527,ABCC1
P33681,CD80
P33765,ADORA3
P33897,ABCD1
P33908,MAN1A1
P34741,SDC2
P34810,CD68
P34903,GABRA3
P34910,EVI2B
P34947,GRK5
P34969,HTR7
P34972,CNR2
P34981,TRHR
P34982,OR1D2
P34995,PTGER1
P34998,CRHR1
P35052,GPC1
P35212,GJA4
P35240,NF2
P35346,SSTR5
P35348,ADRA1A
P35354,PTGS2
P35368,ADRA1B
P35372,OPRM1
P35408,PTGER4
P35410,MAS1L
P35414,APLNR
P35462,DRD3
P35498,SCN1A
P35499,SCN4A
P35523,CLCN1
P35575,G6PC
P35590,TIE1
P35606,COPB2
P35610,SOAT1
P35611,ADD1
P35612,ADD2
P35613,BSG
P35916,FLT4
P35968,KDR
P36382,GJA5
P36383,GJC1
P36405,ARL3
P36544,CHRNA7
P36888,FLT3
P36894,BMPR1A
P36897,TGFBR1
P36941,LTBR
P36956,SREBF1
P37088,SCNN1A
P37173,TGFBR2
P37268,FDFT1
P37288,AVPR1A
P38435,GGCX
P38484,IFNGR2
P38567,SPAM1
P38570,ITGAE
P39086,GRIK1
P39210,MPV17
P39656,DDOST
P40126,DCT
P40145,ADCY8
P40189,IL6ST
P40197,GP5
P40198,CEACAM3
P40200,CD96
P40238,MPL
P40259,CD79B
P40337,VHL
P40616,ARL1
P40818,USP8
P40855,PEX19
P40879,SLC26A3
P40967,PMEL
P41143,OPRD1
P41145,OPRK1
P41146,OPRL1
P41180,CASR
P41181,AQP2
P41217,CD200
P41231,P2RY2
P41273,TNFSF9
P41440,SLC19A1
P41586,ADCYAP1R1
P41587,VIPR2
P41594,GRM5
P41595,HTR2B
P41597,CCR2
P41732,TSPAN7
P41968,MC3R
P42081,CD86
P42261,GRIA1
P42345,MTOR
P42566,EPS15
P42680,TEC
P42681,TXK
P42701,IL12RB1
P42702,LIFR
P42892,ECE1
P43003,SLC1A3
P43004,SLC1A2
P43005,SLC1A1
P43007,SLC1A4
P43080,GUCA1A
P43088,PTGFR
P43116,PTGER2
P43119,PTGIR
P43121,MCAM
P43146,DCC
P43155,CRAT
P43220,GLP1R
P43307,SSR1
P43308,SSR2
P43403,ZAP70
P43489,TNFRSF4
P43630,KIR3DL2
P43657,LPAR6
P43681,CHRNA4
P45844,ABCG1
P46019,PHKA2
P46020,PHKA1
P46059,SLC15A1
P46060,RANGAP1
P46089,GPR3
P46092,CCR10
P46093,GPR4
P46094,XCR1
P46663,BDKRB1
P46695,IER3
P46721,SLCO1A2
P46939,UTRN
P46977,STT3A
P47211,GALR1
P47736,RAP1GAP
P47804,RGR
P47870,GABRB2
P47871,GCGR
P47872,SCTR
P47887,OR1E2
P47888,OR3A3
P47890,OR1G1
P47898,HTR5A
P47900,P2RY1
P47901,AVPR1B
P48023,FASLG
P48029,SLC6A8
P48039,MTNR1A
P48048,KCNJ1
P48050,KCNJ4
P48058,GRIA4
P48065,SLC6A12
P48066,SLC6A11
P48067,SLC6A9
P48145,NPBWR1
P48146,NPBWR2
P48165,GJA8
P48167,GLRB
P48169,GABRA4
P48230,TM4SF4
P48357,LEPR
P48444,ARCN1
P48449,LSS
P48509,CD151
P48544,KCNJ5
P48546,GIPR
P48549,KCNJ3
P48551,IFNAR2
P48664,SLC1A6
P48751,SLC4A3
P48764,SLC9A3
P49069,CAMLG
P49146,NPY2R
P49190,PTH2R
P49238,CX3CR1
P49257,LMAN1
P49281,SLC11A2
P49286,MTNR1B
P49418,AMPH
P49447,CYB561
P49682,CXCR3
P49683,PRLHR
P49685,GPR15
P49755,TMED10
P49757,NUMB
P49758,RGS6
P49768,PSEN1
P49771,FLT3LG
P49795,RGS19
P49810,PSEN2
P49815,TSC2
P49821,NDUFV1
P49901,SMCP
P50052,AGTR2
P50150,GNG4
P50151,GNG10
P50336,PPOX
P50391,NPY4R
P50406,HTR6
P50416,CPT1A
P50440,GATM
P50443,SLC26A2
P50542,PEX5
P50607,TUB
P50895,BCAM
P51148,RAB5C
P51153,RAB13
P51157,RAB28
P51159,RAB27A
P51160,PDE6C
P51164,ATP4B
P51168,SCNN1B
P51170,SCNN1G
P51172,SCNN1D
P51511,MMP15
P51512,MMP16
P51571,SSR4
P51572,BCAP31
P51575,P2RX1
P51582,P2RY4
P51589,CYP2J2
P51636,CAV2
P51654,GPC3
P51677,CCR3
P51679,CCR4
P51681,CCR5
P51684,CCR6
P51685,CCR8
P51686,CCR9
P51693,APLP1
P51787,KCNQ1
P51788,CLCN2
P51790,CLCN3
P51797,CLCN6
P51800,CLCNKA
P51810,GPR143
P51828,ADCY7
P51841,GUCY2F
P52569,SLC7A2
P52797,EFNA3
P52803,EFNA5
P52848,NDST1
P52948,NUP98
P52961,ART1
P53007,SLC25A1
P53618,COPB1
P53621,COPA
P53680,AP2S1
P53708,ITGA8
P53779,MAPK10
P53794,SLC5A3
P53985,SLC16A1
P54219,SLC18A1
P54578,USP14
P54707,ATP12A
P54709,ATP1B3
P54753,EPHB3
P54760,EPHB4
P54849,EMP1
P54851,EMP2
P54852,EMP3
P54920,NAPA
P55008,AIF1
P55011,SLC12A2
P55017,SLC12A3
P55040,GEM
P55061,TMBIM6
P55064,AQP5
P55085,F2RL1
P55087,AQP4
P55283,CDH4
P55285,CDH6
P55286,CDH8
P55287,CDH11
P55290,CDH13
P55291,CDH15
P55344,LIM2
P55735,SEC13
P55808,XG
P55851,UCP2
P56181,NDUFV3
